Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,الصناعة,,,,,,,Industry
,صندوق التنمية الصناعية السعودي : القروض الصناعية الممنوحة,,,,,,,
,حسب نوع الصناعة  1441/1440هـ - 2019م,,,,,,,
,Saudi Industrial Development Fund : Industrial Loans,,,,,,,
, by type of Industry : 1440 /1441 A.H.-- 2019 A.D,,,,,,,
,جدول 12 - 10,,,,,,,Table12 - 10
,نـــوع الصنــــــــاعــة,القروض الممنوحة خلال العام المالي,,,تراكمية بنهاية العام المالي ,,,Type of Industry
,,1441/1440هـ(2019م),,,1441/1440هـ(2019م),,,
,,Loan Granted During Fiscal Year,,,Accumulated as of end of F.Y.,,,
,,1440/1441 A.H.(2019 M.),,,1440/1441 A.H.(2019 M.),,,
,,,القيمة,النسبة,عدد,القيمة,النسبة,
,,القروض,بملايين الريالات,المئوية (%),القروض,بملايين الريالات,المئوية (%),
,,No. of,Value,Percent,No. of,Value,Percent,
,,Loans,(Millions),%,Loans,(Millions),%,
,,,SR,,,SR,,
,صناعة المواد الغذائية,23,685050000,0.0548076830763,610,16115273500,0.0948640803641,Food Industries
,المرطبات,4,55400000,0.00443229785042,118,2292771500,0.0134966161035,Beverages
,المنسوجات والملابس الجاهزة,3,21200000,0.00169611397886,131,2549097000,0.0150055003822,Textiles & R.M Clothes
,منتجات الجلد والاحذية,0,0,0,27,140840000,0.000829067969493,Leather Products & Shoes
,صناعة الخشب ومنتوجاته,0,0,0,25,263077000,0.00154862762149,Timber and Products
,الموبيليا والأثاث غير المعدنية,3,29150000,0.00233215672093,84,596561000,0.00351171270199,Wood Furniture and non-metal Furniture
,صناعة الورق والمنتوجات الورقية,6,82970000,0.0066380460767,236,4142727000,0.0243865539765,Paper Industry and its products.
,الطباعة والنشر,0,0,0,40,218212000,0.00128452555921,Printing and Publishing
,الكيماويات الصناعية,22,10470560000,0.837701093513,572,63940077000,0.376389305649, Industrial Chemicals
,منتوجات النفط والفحم,0,0,0,79,5314732000,0.0312856721644,Oil and Coal Products
,منتوجات المطاط,2,2610000,0.000208814032303,29,871167000,0.00512820687148,Rubber Products
,منتوجات البلاستيك,14,144700000,0.0115767779595,543,6783350052,0.0399308311131,Plastic Products
,الاسمنت,1,57000000,0.00456030645259,48,12685550000,0.0746746888697,Cement
,صناعة الصيني والخزف والقيشاني,0,0,0,42,1974776000,0.0116247055419,China Ceramics and Mosaic Ind.
,صناعة الزجاج ومنتوجاته,1,2050000,0.000164011021541,125,3818590500,0.0224784938381,Glass Ind. And Products
,مواد البناء غير الحديدية (الأنشطة الخاصة بالتشييد),2,29470000,0.00235775844137,474,8351384700,0.0491612152491,Non-Ferrous Construction Materials (Construction Activities)
,المنتجات المعدنية,10,266380000,0.0213118321551,712,22373953000,0.131706388691,Metal Products
,الماكينات غير الكهربائية,3,20400000,0.00163210967777,132,1601072000,0.00942486163059,Non-Electric Machines
,المكينات الكهربائية,2,88150000,0.00705247392625,209,3771871000,0.0222034750863,Electric Machines
,وسائل ومعدات النقل,0,0,0,84,5111126000,0.0300871262045,Transport Means and Equipment
,المنتجات الصناعية الأخرى,18,544070000,0.0435285251169,144,6961299000,0.0409783444119,Other Industrial Products
,المجموع,114,12499160000,1,4464,169877507252,1,Total
,المصدر: صندوق التنمية الصناعية السعودي,,,,,,,Source: Saudi Industrial Development Fund.
,تم إعادة تصنيف بعض المشاريع وبعض القطاعات ليتطابق البيان مع ما يتم إصداره في التقرير السنوي للصندوق,,,,  Some projects and sectors wre re-classified so the statement conforms to SIDFannual report,,,
